article,match
btonline.ro/2019/03/04/carte-de-identitate-falsa-descoperita-la-controlul-de-frontiera,ziarulevenimentul.ro/stiri/moldova/carte-de-identitate-falsa-descoperita-la-controlul-de-frontiera--217451082.html
bzv.ro/sorina-matei-iesire-exploziva-dupa-interviul-judecatoarei-gabriela-birsan-la-antena3-doamna-stie-dar-n-a-spus-52162,antena3.ro/actualitate/sinteza-zilei-judecatorii-gabriela-si-corneliu-barsan-rup-tacerea-lovitura-nimicitoare-pentru-dna-510747.html
m.hotnews.ro/stire/23011170,stirileprotv.ro/stiri/actualitate/doua-organisme-europene-critica-noua-sectie-pentru-investigarea-infractiunilor-din-justitie.html
m.hotnews.ro/stire/23011463,stiripesurse.ro/liviu-dragnea-ii-raspunde-lui-macron-i-ii-traduce-lui-iohannis-propune-interzicerea-finan-arii-p_1331409.html
aktual24.ro/macron-anunta-o-noua-revolutie-in-europa-mesaj-in-limba-romana-populistii-lui-liviu-dragnea-vor-reactiona-furibund,bzi.ro/iata-scrisoarea-lui-emmanuel-macron-despre-viitorul-europei-685398
evenimentvalcean.ro/foto-adolescente-din-ramnicu-valcea-date-disparute-daca-le-ati-vazut-sunati-la-112,gazetavalceana.ro/2019/03/04/update-up-foto-adolescente-din-ramnicu-valcea-date-disparute-le-ati-vazut
stiri-neamt.ro/meteo-cum-va-fi-vremea-pana-pe-17-martie-se-va-incalzi-considerabil,wowbiz.ro/prognoza-meteo-pentru-urmatoarele-doua-saptamani-renuntam-sau-nu-la-hainele-de-iarna-20009335
adevarul.ro/news/societate/8-martie-vine-temperaturi-vara-1_5c7ea883445219c57eeb5dd4/index.html,wowbiz.ro/prognoza-meteo-pentru-urmatoarele-doua-saptamani-renuntam-sau-nu-la-hainele-de-iarna-20009335
ph-online.ro/eveniment/item/103566-tichete-de-400-de-lei-pentru-copii-banii-pot-fi-folositi-de-parinti-sau-familii-strict-in-aceste-conditii,ziarulunirea.ro/tichete-de-400-de-lei-pentru-copii-banii-pot-fi-folositi-de-parinti-sau-familii-pentru-accesul-copiilor-la-programele-after-school-513733
adevarul.ro/international/europa/un-detinut-radicalizat-injunghie-doi-supraveghetori-intr-o-inchisoare-franta-1_5c7e697f445219c57ee96ce6/index.html,blacknews.ro/incident-grav-intr-un-penitenciar-din-franta-un-detinut-a-injunghiat-doi-gardieni-video
ziarulclujean.ro/procurorii-diicot-continua-protestul,ziaruldeiasi.ro/stiri/procurorii-diicot-vor-purta-banderole-albe-in-semn-de-protest-fata-de-oug-7--213191.html
stiridegalati.ro/protest-inedit-un-om-de-afaceri-a-construit-singurul-metru-de-autostrada-din-moldova,tirmagazin.ro/infrastructura/exasperat-a-construit-singur-primul-metru-din-autostrada-moldova
aws.hotnews.ro/stire/23011343,stirileprotv.ro/stiri/actualitate/mai-multi-romani-s-au-trezit-cu-credite-uriase-dupa-ce-au-aplicat-pentru-un-job.html
iasifun.ziaruldeiasi.ro/michelin-lanseaza-a-doua-editie-a-ghidului-verde-pentru-romania/178039,da.zf.ro/dupa-afaceri/michelin-lanseaza-ghidul-verde-pentru-romania-care-sunt-cele-10-locuri-pe-care-nu-trebuie-sa-le-ratezi-17884050
aws.hotnews.ro/stire/23010907,stirileprotv.ro/educatie/reactia-ministrului-educatiei-cu-privire-la-profesorul-care-a-corectat-gresit-o-lucrare.html
