source,target
1315,2973
9798,197802
3636,199197
9798,32301
14098,216080
23261,24472
2725,248166
2504,23813
93,73
4986,22956
1315,23978
19862,1262
4999,228599
1888,348652
2421,23689
826,73
2889,9936
1316,1315
73,196595
36823,71
17493,173476
2884,196733
1888,2421
2889,23742
2421,19749
1315,71
1315,23996
1317,839
1302,23698
4986,7197
2981,348543
71,23985
83,20356
19124,348582
4967,19749
2906,199188
18082,283
4551,196741
2126,196595
1888,196585
6584,221006
67890,196595
826,196595
3503,196595
10186,196658
4999,196657
2746,196595
1302,2453
92,3354
2743,9275
3242,196595
1315,23981
71,1317
92,359
1315,20924
92,196608
71,2458
25691,25695
1888,92
2746,348644
2459,21297
3503,196602
5203,2905
10186,348543
67890,199197
18082,39091
3728,24477
2699,24472
2743,6300
19124,196657
36823,10846
2459,348544
2921,42117
1888,16154
3207,196602
2906,197574
2444,2650
9798,199197
3492,3340
1888,1302
2226,19749
92,348934
92,197555
657,2444
1315,853
92,3563
2442,221006
1888,196611
71,196595
657,83
18082,39090
13140,196657
3492,204900
1317,196608
2699,23698
13140,197030
71,197352
22399,19749
851,853
72,95
2743,173222
4999,19749
2109,348543
18082,212790
2425,27189
17493,196600
6584,348548
31093,1977
2228,4185
2725,196595
3022,196631
86,348160
79,72
25691,25642
2921,348451
2406,196595
3258,196595
92,198423
79,4070
2442,217979
826,2775
2222,22279
2972,23696
9442,348543
72,71
1315,9273
11378,2179
1888,4992
851,73
2910,196595
2442,23745
18105,198731
2861,348543
4986,1702
73,826
1315,196658
3483,348543
3503,204900
4643,348543
25653,25678
2126,35722
83,196585
13140,196741
2226,196595
2236,22292
4999,198424
1315,348611
9508,196595
92,197554
71,197254
2354,348956
3013,19749
2126,173057
36822,23995
3247,348653
3021,196595
2906,2737
3195,348557
3492,5231
25691,25671
93,197026
2442,19749
73,4040
3728,348557
826,2229
92,199197
4125,2453
4551,26719
1892,4617
9798,32305
25691,25665
18351,196595
5710,19749
71,33476
92,197015
86,196638
3462,348543
1315,1054
73,199197
76,3874
4125,348557
2177,196657
71,72
851,2635
4551,26209
72,1054
2459,348540
2725,1702
71,348541
2918,196595
2108,19749
4165,348466
2442,348557
1888,174120
2910,197118
2743,348557
19124,196712
22399,198424
92,38766
83,2650
92,50916
2444,196585
71,15978
2725,348510
71,2712
3340,196595
19124,196658
2615,196595
1892,14242
4165,25393
3466,23641
2699,16499
2442,205970
4967,27116
4999,348939
3503,283759
7380,348543
3503,199197
2177,79
3493,25220
36822,197253
2459,36746
2425,196595
1315,27245
1892,172945
73,17415
2226,197038
71,42185
92,24654
71,32842
92,197542
4207,24389
20719,196657
851,196712
3462,285
36823,20525
9798,212510
71,23990
1315,196602
2925,348449
3469,348557
3339,25001
71,32836
1892,196748
3339,348434
25691,25690
2473,19749
25691,25667
10065,34704
78820,348543
9508,348543
3022,348557
92,19876
3537,42678
92,515
22399,348581
92,197508
92,32932
3207,348960
2126,33431
92,196631
18082,199197
71,25821
92,348543
3728,25082
2906,196657
2425,27190
1888,2473
6557,204900
3021,197574
3466,197574
71,271644
2411,196595
2459,196602
1315,95
2889,24394
92,13007
25691,25686
2743,197030
92,78
25691,25676
20719,348557
92,2504
2444,1938
4165,173700
2991,212790
6557,19749
2077,217003
2444,1434
2459,36859
1315,348619
86,19863
10065,19749
14098,19749
2746,24175
1315,17493
3537,20033
2921,225013
2928,26747
1315,23988
2459,2775
79,6589
71,5060
13140,196607
79,853
3728,25561
9798,197574
71,348539
5203,23549
3537,25137
3195,348543
9798,197810
3242,348557
10065,28187
2910,196602
2699,16154
86,196595
2921,348453
13140,210791
3728,6295
10186,196657
2859,199197
826,858
2179,28594
92,197523
3260,196602
